Up to date,Starred,Name,Test case,longitud extra pontones [mm],angulo tras [°],angulo del [°],Pressure Drop [Pa],Max. Velocity [m/s],Y Force 2 [N],Z Force 3 [N]
Solved,False,DV41,,1,0,"2,99999999999999","363,873779296875","83,9320068359375","5,12548732757568","0,894698619842529"
Solved,False,DV42,,1,0,"4,00000000000023","365,158935546875","83,8077697753906","4,88180494308472","1,12412476539612"
Solved,False,DV43,,1,0,"5,00000000000001","342,62353515625","88,5309600830078","4,78034114837646","1,80250024795532"
Solved,False,DV44,,1,"1,00000000000007","2,38541601109764E-14","364,28759765625","83,6337051391602","5,15340805053711","1,29019832611084"
Solved,False,DV45,,1,1,"1,00000000000005","369,999267578125","83,8961639404297","5,04908418655396","1,13078629970551"
Solved,False,DV46,,1,1,"2,0000000000001","369,09912109375","83,6856384277344","5,03663444519043","0,886869728565216"
Solved,False,DV47,,1,1,"3,00000000000009","359,992919921875","86,2091445922852","5,05837059020996","0,853894770145416"
Solved,False,DV48,,1,1,"3,99999999999997","363,220703125","83,3943481445313","4,83744716644287","1,17322099208832"
Solved,False,DV49,,1,1,"5,00000000000017","339,5380859375","88,0713577270508","4,70046186447144","1,64939701557159"
Solved,False,DV51,,1,"2,00000000000018",0,"363,804931640625","83,8085556030273","5,11859941482544","0,76751434803009"
Solved,False,DV52,,1,2,"0,999999999999833","374,09326171875","83,3770370483398","5,06011819839478","0,792128026485443"
Solved,False,DV53,,1,2,"2,00000000000026","365,603271484375","83,5671234130859","5,01122188568115","0,700256407260895"
Solved,False,DV54,,1,2,"2,99999999999999","349,5810546875","83,9860153198242","4,96627569198608","0,653166770935059"
Solved,False,DV55,,1,2,"4,00000000000013","367,96875","83,9815292358398","4,90634870529175","0,905621230602264"
Solved,False,DV56,,1,"1,99999999999986","4,9999999999999","348,03076171875","88,471435546875","4,82379198074341","1,64973521232605"
Solved,False,DV57,,1,"3,00000000000025","2,36156185098666E-13","366,8759765625","84,0447769165039","5,12707281112671","0,751607418060303"
Solved,False,DV58,,1,3,"1,00000000000015","372,081298828125","83,7430191040039","5,20090293884277","0,61964750289917"
Solved,False,DV59,,1,3,"2,00000000000015","372,380859375","84,5391159057617","5,03414630889893","0,498420834541321"
Solved,False,DV60,,1,3,"3,00000000000009","368,09423828125","85,4299621582031","5,05885362625122","0,545545160770416"
Solved,False,DV61,,1,3,"3,99999999999992","368,57861328125","83,5175094604492","4,89378356933594","0,812509536743164"
Solved,False,DV62,,1,3,"5,00000000000011","348,48779296875","88,7692718505859","4,84871768951416","1,48165857791901"
Solved,False,DV63,,1,"3,99999999999999",0,"382,614013671875","87,3585052490234","5,36053800582886","0,211265400052071"
Solved,False,DV64,,1,4,"0,999999999999833","393,60107421875","87,3554306030273","5,33018922805786","0,0770234242081642"
Solved,False,DV65,,1,4,"1,99999999999989","388,864501953125","87,3428649902344","5,21004152297974","0,112092353403568"
Solved,False,DV66,,1,4,"3,00000000000015","391,154052734375","87,5463562011719","5,4712700843811","0,260615438222885"
Solved,False,DV67,,1,4,"4,00000000000007","376,21044921875","87,0475387573242","4,97998952865601","0,313778311014175"
Solved,False,DV68,,1,4,"5,00000000000017","354,601318359375","88,7022705078125","4,92085123062134","0,729940891265869"
Solved,False,DV69,,1,"4,99999999999989","2,38541601109764E-14","385,7392578125","85,415168762207","5,3813591003418","0,510560214519501"
Solved,False,DV70,,1,5,"0,999999999999941","380,027587890625","84,5158386230469","5,26722002029419","0,133593395352364"
Solved,False,DV71,,1,5,"1,99999999999994","388,306396484375","84,2053833007813","5,25728464126587","0,174061462283134"
Solved,False,DV72,,1,5,"2,99999999999988","384,07275390625","84,4617462158203","5,31348562240601","0,393613576889038"
Solved,False,DV73,,1,5,"4,00000000000023","376,613525390625","84,2470016479492","4,94333648681641","0,532825529575348"
Solved,False,DV74,,1,5,"4,9999999999999","362,682861328125","88,563591003418","4,9864354133606","1,0784215927124"
Solved,False,DV75,,2,"1,31993019280736E-13","7,55381736847585E-14","362,713623046875","84,6338958740234","5,05380249023438","1,25642609596252"
